transaction_id,customer_id,scenario_id,scenario_name,injected_flag,expected_risk,notes,scenario_group_id
TXN0000027058,CUS0001829,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0001
TXN0000195931,CUS0001829,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0001
TXN0000200840,CUS0001829,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0001
TXN0000249403,CUS0001829,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0001
TXN0000077506,CUS0007058,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0002
TXN0000111351,CUS0007058,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0002
TXN0000145744,CUS0007058,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0002
TXN0000219018,CUS0007058,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0002
TXN0000030259,CUS0006339,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0003
TXN0000077222,CUS0006339,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0003
TXN0000084550,CUS0006339,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0003
TXN0000207569,CUS0006339,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0003
TXN0000091354,CUS0005888,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0004
TXN0000187559,CUS0005888,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0004
TXN0000193586,CUS0005888,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0004
TXN0000224136,CUS0005888,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0004
TXN0000090020,CUS0007722,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0005
TXN0000140023,CUS0007722,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0005
TXN0000215732,CUS0007722,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0005
TXN0000236394,CUS0007722,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0005
TXN0000109266,CUS0006113,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0006
TXN0000134085,CUS0006113,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0006
TXN0000160627,CUS0006113,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0006
TXN0000199088,CUS0006113,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0006
TXN0000011361,CUS0005682,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0007
TXN0000082559,CUS0005682,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0007
TXN0000099029,CUS0005682,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0007
TXN0000197671,CUS0005682,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0007
TXN0000024485,CUS0008131,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0008
TXN0000056188,CUS0008131,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0008
TXN0000184713,CUS0008131,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0008
TXN0000196303,CUS0008131,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0008
TXN0000067644,CUS0008143,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0009
TXN0000067918,CUS0008143,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0009
TXN0000212506,CUS0008143,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0009
TXN0000222332,CUS0008143,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0009
TXN0000040131,CUS0006403,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0010
TXN0000141081,CUS0006403,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0010
